Zeitpunkt;Skalierter Netzlast [MWh]
2035-07-03 14:52:30;24450.62534448328
2035-07-03 15:07:30;24457.671873113784
2035-07-03 15:22:30;24390.522600281914
2035-07-03 15:37:30;24289.384189349963
2035-07-03 15:52:30;24373.942532916022
2035-07-03 16:07:30;24257.882061354765
2035-07-03 16:22:30;24211.87237441441
2035-07-03 16:37:30;24222.649418202243
2035-07-03 16:52:30;24026.59012160055
2035-07-03 17:07:30;24303.062744926825
2035-07-03 17:22:30;24342.440404920824
2035-07-03 17:37:30;24218.089899676623
2035-07-03 17:52:30;24256.22405461818
2035-07-03 18:07:30;24313.42528703051
2035-07-03 18:22:30;24010.424555918806
2035-07-03 18:37:30;24009.181050866362
2035-07-03 18:52:30;23990.113973395586
2035-07-03 19:07:30;23993.015485184616
2035-07-03 19:22:30;23723.174888804697
2035-07-03 19:37:30;23549.49868314696
2035-07-03 19:52:30;23338.931827600114
2035-07-03 20:07:30;22977.90086070778
2035-07-03 20:22:30;22697.69772222418
2035-07-03 20:37:30;22513.244472778613
2035-07-03 20:52:30;22289.828065023197
2035-07-03 21:07:30;21918.020054343033
2035-07-03 21:22:30;21689.215124693703
2035-07-03 21:37:30;21505.59087861643
2035-07-03 21:52:30;21229.532756974302
2035-07-03 22:07:30;20883.423850711275
2035-07-03 22:22:30;20632.235830117985
2035-07-03 22:37:30;20255.039297543906
2035-07-03 22:52:30;19813.18050224284
2035-07-03 23:07:30;19374.637720414958
2035-07-03 23:22:30;19222.515602332882
2035-07-03 23:37:30;18982.93362889572
2035-07-03 23:52:30;18766.56374977081
2035-07-04 00:07:30;18576.721978431327
2035-07-04 00:22:30;18334.652994889282
2035-07-04 00:37:30;18182.945378491353
2035-07-04 00:52:30;18040.771300828816
2035-07-04 01:07:30;18105.84806523995
2035-07-04 01:22:30;18137.350193235146
2035-07-04 01:37:30;18067.299408614246
2035-07-04 01:52:30;18064.397896825216
2035-07-04 02:07:30;17776.73372802696
2035-07-04 02:22:30;17623.368104892445
2035-07-04 02:37:30;17701.294421512146
2035-07-04 02:52:30;17822.743414967317
2035-07-04 03:07:30;17652.797724466905
2035-07-04 03:22:30;17541.71127311542
2035-07-04 03:37:30;17617.97958299853
2035-07-04 03:52:30;17623.782606576595
2035-07-04 04:07:30;17757.666650556184
2035-07-04 04:22:30;17840.9814890698
2035-07-04 04:37:30;18125.329644394875
2035-07-04 04:52:30;18279.93877258183
2035-07-04 05:07:30;18612.783624952146
2035-07-04 05:22:30;18808.42841986969
2035-07-04 05:37:30;19169.87388844617
2035-07-04 05:52:30;19693.804017208407
2035-07-04 06:07:30;20866.429281661232
2035-07-04 06:22:30;21574.39815818489
2035-07-04 06:37:30;22044.028566323825
