Datum von;Datum bis;Zeitpunkt;Skalierter Netzlast [MWh]
2045-01-03 15:30:00;2045-01-03 15:45:00;2045-01-03 15:37:30;46854,81224257492
2045-01-03 15:45:00;2045-01-03 16:00:00;2045-01-03 15:52:30;46699,832244460034
2045-01-03 16:00:00;2045-01-03 16:15:00;2045-01-03 16:07:30;47253,562862724655
2045-01-03 16:15:00;2045-01-03 16:30:00;2045-01-03 16:22:30;47561,101296483874
2045-01-03 16:30:00;2045-01-03 16:45:00;2045-01-03 16:37:30;48109,18160231722
2045-01-03 16:45:00;2045-01-03 17:00:00;2045-01-03 16:52:30;48618,516908621845
2045-01-03 17:00:00;2045-01-03 17:15:00;2045-01-03 17:07:30;49445,076898567866
2045-01-03 17:15:00;2045-01-03 17:30:00;2045-01-03 17:22:30;49864,00720597215
2045-01-03 17:30:00;2045-01-03 17:45:00;2045-01-03 17:37:30;50324,91126286588
2045-01-03 17:45:00;2045-01-03 18:00:00;2045-01-03 17:52:30;50272,444076004074
2045-01-03 18:00:00;2045-01-03 18:15:00;2045-01-03 18:07:30;49782,4812694638
2045-01-03 18:15:00;2045-01-03 18:30:00;2045-01-03 18:22:30;49688,04033311255
2045-01-03 18:30:00;2045-01-03 18:45:00;2045-01-03 18:37:30;49770,373457111076
2045-01-03 18:45:00;2045-01-03 19:00:00;2045-01-03 18:52:30;49474,13564821441
2045-01-03 19:00:00;2045-01-03 19:15:00;2045-01-03 19:07:30;49110,09409014248
2045-01-03 19:15:00;2045-01-03 19:30:00;2045-01-03 19:22:30;48434,47816086043
2045-01-03 19:30:00;2045-01-03 19:45:00;2045-01-03 19:37:30;47965,502229064885
2045-01-03 19:45:00;2045-01-03 20:00:00;2045-01-03 19:52:30;47385,94161111445
2045-01-03 20:00:00;2045-01-03 20:15:00;2045-01-03 20:07:30;46745,84193140039
2045-01-03 20:15:00;2045-01-03 20:30:00;2045-01-03 20:22:30;45979,82100321799
2045-01-03 20:30:00;2045-01-03 20:45:00;2045-01-03 20:37:30;45359,0938232683
2045-01-03 20:45:00;2045-01-03 21:00:00;2045-01-03 20:52:30;44687,51383143716
2045-01-03 21:00:00;2045-01-03 21:15:00;2045-01-03 21:07:30;44043,37821427219
2045-01-03 21:15:00;2045-01-03 21:30:00;2045-01-03 21:22:30;43496,10509592902
